"LINK_ID","TIME","FLOW","LANE_NO","OCC","ASPEED","LARGE_CAR_FLOW"
"3036","2009-06-01 03:36:33","3","13","1","91","0"
"3036","2009-06-01 03:36:33","9","12","1","73","1"
"3036","2009-06-01 03:36:33","9","11","1","61","0"
"3036","2009-06-01 03:38:32","2","3","1","78","0"
"3036","2009-06-01 03:38:32","6","2","1","39","0"
"3036","2009-06-01 03:38:32","5","1","1","68","0"
"3036","2009-06-01 03:38:32","0","13","0","0","0"
"3036","2009-06-01 03:38:32","4","12","1","92","0"
"3036","2009-06-01 03:38:32","4","11","1","66","0"
"3036","2009-06-01 03:40:32","1","3","1","74","0"
"3036","2009-06-01 03:40:32","8","2","1","53","0"
"3036","2009-06-01 03:40:32","1","1","1","39","0"
"3036","2009-06-01 03:40:32","1","13","1","91","0"
"3036","2009-06-01 03:40:32","2","12","1","82","0"
"3036","2009-06-01 03:40:32","3","11","1","91","0"
"3036","2009-06-01 03:42:32","1","3","1","50","0"
"3036","2009-06-01 03:42:32","4","2","1","37","1"
"3036","2009-06-01 03:42:32","3","1","1","58","0"
"3036","2009-06-01 03:42:32","3","13","1","90","0"
"3036","2009-06-01 03:42:32","6","12","1","50","1"
